humanitarian_id,client_id
h_1261,
h_5952,
h_780,
h_5721,
h_4549,
h_7927,13624.0
h_14771,13626.0
h_5242,
h_2237,
h_19540,17730.0
h_1011,
h_2650,
h_4339,
h_4877,
h_3969,
h_16342,7195.0
h_13499,7607.0
h_23929,5961.0
h_24303,12302.0
h_12656,11507.0
h_11258,4649.0
h_24620,3757.0
h_12135,2911.0
h_8062,19062.0
h_9853,15729.0
h_4267,
h_1922,
h_996,
h_3610,
h_5797,
h_291,
h_4766,
h_9006,13108.0
h_6633,
h_6064,
h_4017,
h_4244,
h_8142,18532.0
h_545,
h_6952,18634.0
h_4983,
h_4928,
h_5523,
h_3653,
h_5155,
h_6020,
h_710,
h_2995,
h_1383,
h_4924,
h_3627,
h_1788,
h_3792,
h_418,
h_1743,
h_2516,
h_4499,
h_4113,
h_3011,
h_4745,
h_2032,
h_6759,
h_24262,17664.0
h_6327,
h_17964,16579.0
h_784,
h_20644,15312.0
h_4925,
h_24701,19255.0
h_3647,
h_2449,
h_4329,
h_21334,18482.0
h_2129,
h_3309,
h_3557,
h_2721,
h_2357,
h_4824,
h_1951,
h_385,
h_22528,18418.0
h_6,
h_1779,
h_5052,
h_5327,
h_4507,
h_2606,
h_5950,
h_1629,
h_4524,
h_6311,
h_6065,
h_6837,
h_1924,
h_4937,
h_6314,
h_3254,
h_2173,
h_16520,13297.0
h_17976,14100.0
h_5040,
h_6637,
h_8018,12874.0
h_12807,17978.0
h_19372,12999.0
,
h_20386,16071.0
h_2735,
h_11724,15407.0
h_19356,9699.0
h_1269,
h_18701,12228.0
h_23162,7881.0
h_7999,9174.0
h_2406,
h_3895,
h_790,
h_5966,
h_2900,
h_4674,
h_2191,
h_3886,
h_596,
h_3415,
h_6753,
h_4285,
h_6444,
h_5677,
h_6419,
h_2075,
h_2970,
h_2814,
h_1231,
h_3046,
h_231,
h_5722,
h_2485,
h_6827,
h_3563,
h_7342,5214.0
h_3190,
h_6212,
h_5137,
h_786,
h_1917,
h_4212,
h_1749,
h_10144,16918.0
h_12005,5787.0
h_3822,
h_13024,13775.0
h_3671,
h_17984,19243.0
h_742,
h_5527,
h_12239,19120.0
h_1830,
h_6816,
h_489,
h_17207,12343.0
h_3820,
h_4173,
h_20755,4830.0
h_7320,12385.0
h_14133,17343.0
h_21070,16428.0
h_5795,
h_4338,
h_25078,7004.0
h_21852,9927.0
h_21264,19186.0
h_10717,10981.0
h_24072,14659.0
h_4574,
h_23944,9947.0
h_13637,18642.0
h_2502,
h_5203,
h_2455,
h_10682,13675.0
h_2284,
h_2675,
h_13966,18619.0
h_13420,18133.0
h_5663,
h_3040,
h_174,
h_2523,
h_13422,18435.0
h_5321,
h_6045,
h_5156,
h_4625,
h_254,
h_456,
h_1475,
h_2734,
h_5570,
h_11249,13609.0
h_6523,
h_1947,
h_4647,
h_3288,
h_5748,
h_997,
h_6807,
h_1774,
h_9427,18664.0
h_6515,
h_5016,
h_830,
h_3542,
h_3121,
h_13290,18436.0
h_1723,
h_4259,
h_1528,
h_10584,17229.0
h_25216,18321.0
h_6579,
h_16110,17694.0
h_15228,13837.0
h_11042,13037.0
h_6094,
h_2466,
h_5004,
h_1006,
h_3315,
h_4811,
h_15877,18947.0
h_3904,
h_9489,15028.0
h_23842,15910.0
h_23229,7414.0
h_15035,11314.0
h_11355,17827.0
h_4351,
h_23048,19217.0
h_3470,
h_1717,
h_3850,
h_2774,
h_5858,
h_4432,
h_3784,
h_4154,
h_2198,
h_4295,
h_5159,
h_8094,9855.0
h_24897,19206.0
h_2536,
h_15573,16348.0
h_21136,12232.0
h_18254,4804.0
h_24848,18264.0
h_1501,
h_5780,
h_3061,
h_2476,
h_5213,
h_6666,
h_1055,
h_1249,
h_3841,
h_655,
h_2809,
h_22176,17908.0
h_6392,
h_3695,
h_5431,
h_6587,
h_1884,
h_2296,
h_20320,19057.0
h_22196,19076.0
h_47,
h_19667,14211.0
h_17630,18477.0
h_4221,
h_1867,
h_6654,
h_5090,
h_380,
h_6163,
h_2784,
h_6711,
h_1593,
h_4691,
h_3310,
h_327,
h_3613,
h_11602,13485.0
h_739,
h_15139,16682.0
h_3588,
h_4596,
h_10868,17851.0
h_21466,15330.0
h_1664,
h_2556,
h_2306,
h_6716,
h_2858,
h_3172,
h_3911,
h_5410,
h_439,
h_1454,
h_2740,
h_5993,
h_2894,
h_4680,
h_3573,
h_1483,
h_4359,
h_4040,
h_3683,
h_13259,19032.0
h_19085,19221.0
h_51,
h_3384,
h_2679,
h_15796,16866.0
h_48,
h_15023,16661.0
h_142,
h_9198,10572.0
h_17072,16173.0
h_3856,
h_6338,
h_5944,
h_4184,
h_6778,
h_2599,
h_1347,
h_24745,7049.0
h_83,
h_4959,
h_24719,5286.0
h_17371,13564.0
h_6945,16983.0
h_17943,19202.0
h_3054,
h_3187,
h_11234,12087.0
h_15982,17846.0
h_10123,19212.0
h_8547,19199.0
h_11817,14445.0
h_772,
h_6012,
h_18894,8531.0
h_4497,
h_4238,
h_1882,
h_5794,
h_3184,
h_3931,
h_2368,
h_5127,
h_2434,
h_18109,18658.0
h_4141,
h_18598,18039.0
h_3575,
h_321,
h_8733,17906.0
h_6195,
h_22305,5447.0
h_21302,3307.0
h_20086,19113.0
h_6401,
h_7284,9487.0
h_157,
h_2682,
h_5494,
h_6273,
h_5687,
h_846,
h_6371,
h_22811,2456.0
h_9528,12102.0
h_2763,
h_2769,
h_11588,16943.0
h_4588,
h_4997,
h_5939,
h_15389,14530.0
h_16843,15723.0
h_5426,
h_24728,18876.0
h_22001,19035.0
h_11253,18544.0
h_10043,11718.0
h_8566,4448.0
h_17252,1426.0
h_5999,
h_3389,
h_8070,13499.0
h_16672,17959.0
h_1609,
h_6238,
h_279,
h_2623,
h_476,
h_3251,
h_5309,
h_163,
h_2332,
h_1422,
h_15064,17960.0
h_3068,
h_1685,
h_4376,
h_1277,
h_1360,
h_6076,
h_2148,
h_3477,
h_2175,
h_24602,18993.0
h_5470,
h_5228,
h_763,
h_2725,
h_1203,
h_210,
h_4857,
h_4636,
h_3962,
h_3234,
h_1778,
h_8784,18248.0
h_2792,
h_1559,
h_15874,17587.0
h_3771,
h_4222,
h_6475,
h_18322,5167.0
h_15916,14391.0
h_8654,16496.0
h_21012,16991.0
h_14865,3742.0
h_19416,17105.0
h_6821,
h_5616,
h_14529,13783.0
h_17555,17675.0
h_11022,18440.0
h_1181,
h_1709,
h_1881,
h_5471,
h_4969,
h_8938,17678.0
h_6699,
h_2509,
h_12965,16746.0
h_5860,
h_4656,
h_4572,
h_6598,
h_2283,
h_7318,18256.0
h_12467,18071.0
h_1045,
h_5192,
h_12868,10617.0
h_2105,
h_5112,
h_19852,19180.0
h_4023,
h_1963,
h_4110,
h_1284,
h_5774,
h_12482,11178.0
h_703,
h_900,
